2-Imidazoyl-Pyrimidine Scaffolds for nNOS inhibition2014-101,
"Modification of Inflammation by POP3, a Novel Inflammasome Inhibitor 2010-160","POP3 protein as a method to modulate inflammation.Read full descriptionPrimary Inventor: Christian StehlikTags: autoimmunity, THERAPEUTICS: anti-inflammatory, THERAPEUTICS: infectious disease"
New Bacterial Nitric Oxide Synthase Inhibitors 2014-182,New antibacterial compounds targeting bacterial nitric oxide synthase show promise against resistant bacterial strainsRead full descriptionPrimary Inventor: Richard  SilvermanTags: THERAPEUTICS: infectious disease
Modulation of Oocyte Meiotic Progression through Manipulation of Zinc Availability 2011-100,A novel mechanism to help guide arrested oocytes through meiotic division.Read full descriptionPrimary Inventor: Teresa WoodruffTags: THERAPEUTICS: fertility
G-Protein Inhibitors for Treatment of Atrial Fibrillation 2007-044,"Treatment for atrial fibrillation (AF) by modulation of nerves in the heart muscle using inhibitors of G protein signaling
 Read full descriptionPrimary Inventor: Rishi AroraTags: cardiology"
Treatment of Multiple Myeloma using FDA-Approved HIV Drug 2011-013,"Novel strategy to compromise the metabolism of myeloma cells and induce tumor regression in multiple myeloma (MM) patientsRead full descriptionPrimary Inventor: Steven RosenTags: THERAPEUTICS: drug discovery, THERAPEUTICS: cancer"
Use of Ritonavir and Metformin for treatment of Multiple Myeloma 2012-150,Novel approach to treating multiple myeloma and other cancers using existing therapeutics.Read full descriptionPrimary Inventor: Malathy ShanmugamTags: THERAPEUTICS: cancer
Selective Neuronal Nitric Oxide Synthase Inhibitors for the Treatment of Human Melanoma 2010-163,"Novel compound that inhibits nitric oxide synthase, a key oxidative stress mediator in human melanomaRead full descriptionPrimary Inventor: Richard  SilvermanTags: THERAPEUTICS: cancer, DIAGNOSTIC: cancer"
Hydrogel Dressing With Controlled Ion Release Properties for Wound Healing2014-168,"Novel material for hydrogel wound dressings that can incorporate therapeutic metal ionsRead full descriptionPrimary Inventor: Guillermo AmeerTags: materials, MATERIALS: MOF, MATERIALS: biomedical, MATERIALS: composite, THERAPEUTICS: wound healing"
Immunotherapy for Treating Age-Related Macular Degeneration 2007-161 and 2009-033,"New approach targeting drusen accumulation for treatment and prevention of age-related macular degeneration.Read full descriptionPrimary Inventor: Arthur NeufeldTags: OPHTHALMOLOGY: macular degeneration, THERAPEUTICS: small molecule"
MAP Kinase Targeted Therapeutics 2006-087,"A validated novel compound and medicinal chemistry refinement for bioavailable small molecule inhibitors of protein kinases or protein kinase-mediated cellular stress response pathways
 Read full descriptionPrimary Inventor: Martin WattersonTags: THERAPEUTICS: CNS"
MLCK Targeted Therapeutics 2006-088,"Development of a new class of small molecule therapeutic candidates with potential to address areas of disease and injury relevant to tissue barrier dysfunctionRead full descriptionPrimary Inventor: Martin WattersonTags: THERAPEUTICS: small molecule, THERAPEUTICS: anti-inflammatory, THERAPEUTICS: sepsis"
NOS: Neurodegeneration 2011-053,
Potent and Selective Conformationally Restricted Dipeptide Inhibitors against nNos 2001-057,"A portfolio of neuronal nitric oxide synthase inhibitors for use in treating neurodegenerative disorders.Read full descriptionPrimary Inventor: Richard SilvermanTags: THERAPEUTICS: CNS, CNS: Alzheimer's Disease, CNS: Parkinson's Disease, CNS: Huntington's Disease, THERAPEUTICS: small molecule"
Prodrugs of Fluorinated Mevalonates to Inhibit the Mevalonate Pathway of Streptococcus pneumoniae 2012-018,"Pro-drug antibiotic candidates for the treatment of penicillin-resistant Streptococcus pneumoniae infectionsRead full descriptionPrimary Inventor: Richard  SilvermanTags: pulmonary, THERAPEUTICS: small molecule, THERAPEUTICS: infectious disease"
Scar-Free Tissue Regeneration 2013-172,"Polymer-based drug delivery system that activates scar-free tissue regeneration Read full descriptionPrimary Inventor: Phillip Messersmith, Ellen Heber-KatzTags: biomedical, MATERIALS: polymer, THERAPEUTICS: drug delivery, THERAPEUTICS: wound healing"
Irreversible tethering with drug-like fragments to the protein surfaces 2014-002,"An unbiased library of compounds was generated using a one-step method in order to screen for covalent inhibitors of enzymesRead full descriptionPrimary Inventor: Alexander  StatsyukTags: biomedical, RESEARCH TOOL: method, THERAPEUTICS: drug discovery"
"Selective Human Sirtuin-2 Inhibitors, the Therapeutic Candidate for Huntington's Disease 2012-145","Selective human sirtuin-2 inhibitors for use in treating Huntington's diseaseRead full descriptionPrimary Inventor: Richard  SilvermanTags: CNS: Huntington's Disease, THERAPEUTICS: CNS"
Soft Biomaterials for 3D Printing for Tissue Engineering Applications 2013-152,"A multimaterial bio-ink for 3D printing of cross-linked, soft hydrogels that can be used in tissue engineeringRead full descriptionPrimary Inventor: Ramille ShahTags: biomedical, MANUFACTURE/PROCESSES, MATERIALS: biomedical, THERAPEUTICS: drug delivery, THERAPEUTICS: gene therapy"
TGFÃŸ Inhibitor Transgene for Atrial Fibrillation Treatment 2012-059,"Gene therapy approach for inhibiting fibrosis of cardiac tissueRead full descriptionPrimary Inventor: Rishi AroraTags: cardiology, THERAPEUTICS: gene therapy"
Thermoresponsive Cell Adhesive Bioresorbable Dressing for Wound Healing Applications 2015-071,"Novel citrate-based thermoresponsive gel dressing that fosters cell adhesion to improve wound healingRead full descriptionPrimary Inventor: Guillermo AmeerTags: MATERIALS: biomedical, THERAPEUTICS: wound healing"
A Function Blocking Monoclonal Antibody Against alpha4 Laminin 1999-053,"Researchers at Northwestern University have developed a function blocking monoclonal antibody (mAb) to thea4 subunit of laminin.Read full descriptionPrimary Inventor: Jonathan JonesTags: THERAPEUTICS: antibody, THERAPEUTICS: cancer, research tool: antibody"
AMPA Receptor Antagonists for Neurologic Diseases 2009-186,"A Novel Class of Heterotricyclic AMPA Receptor Antagonists for Treatment of Epilepsy, Pain and Other Neurological Diseases"
Modulation of Immune Function by the Targeted Enhancement of CD154 Trimer Stability 2005-008,"Northwestern researchers have identified a lead compound that can enhance immune function in vivo through a novel mechanism of stabilizing the CD154 trimer on the surface of activated T cells.Read full descriptionPrimary Inventor: Stephen MillerTags: autoimmunity, THERAPEUTICS: infectious disease, THERAPEUTICS: cancer"
Novel Ornithine Aminotransferase Inhibitor: Potential New Treatment for Hepatocellular Carcinoma 2011-039,"Novel Ornithine Aminotransferase Inhibitor for potential new treatment for hepatocellular carcinomaRead full descriptionPrimary Inventor: Richard  SilvermanTags: THERAPEUTICS: cancer, DIAGNOSTIC: cancer, THERAPEUTICS: small molecule"
Compounds for CNS diseases,
"Small Molecule for Treatment of Epilepsy, Pain, and Other Neurological Disorders 2007-036","A new class of small molecules that may be used to target specific AMPA* receptorsRead full descriptionPrimary Inventor: Geoffrey SwansonTags: THERAPEUTICS: small molecule, THERAPEUTICS: PAIN"
Novel Method of Enzymatic Plaque Digestion 2008-157,"Enzymatic digestion composition to remove atherosclerotic plaque without surgery or other invasive procedures.Read full descriptionPrimary Inventor: Guillermo AmeerTags: cardiology, CARDIOLOGY: atherosclerosis"
"Peptides, Peptidomimetics And Small Molecule Inhibitors Of The Epstein-Barr Virus Mediated Fusion And Entry Process 2006-129","Discovery of compositions and development of methods for modulating EBV infection in patients.
Read full descriptionPrimary Inventor: Richard LongneckerTags: THERAPEUTICS: infectious disease"
HIV Therapeutics 2013-216,"Novel small molecule that boosts the innate immune response against viral infectionRead full descriptionPrimary Inventor: Gary SchiltzTags: biomedical, INFECTIOUS DISEASE: HIV"
Manipulation of Neuronal Ion Channels as a Treatment for Parkinson's Disease 2002-110,"Compositions and methods to manipulate ion channels to decrease pathophysiological high frequency neuronal bursts of Parkinson's and related diseasesRead full descriptionPrimary Inventor: James SurmeierTags: CNS: Parkinson's Disease, THERAPEUTICS: CNS"
Maspin for Bone Disorders 2007-156,
Acute Megakarocytic Leukemia (AMKL) Treatment 2008-077,"New approach for treating AMKL by inducing polyploidization to revert cancerous cells into normal cellsRead full descriptionPrimary Inventor: John CrispinoTags: THERAPEUTICS: cancer, THERAPEUTICS: small molecule"
Reactivation Of Mutant p53 With A New Classes Of Small Molecules 2003-079,A novel class of small molecules that can reactivate mutant p53 leading to apoptosis in cancer cells.Read full descriptionPrimary Inventor: Daniel AppellaTags: THERAPEUTICS: cancer
New Peptide Amphiphiles Bearing the Laminin Peptide Sequence IKVAV with Ability to Promote Neurite Outgrowth 2010-183,"Novel peptides that promote neurite growth with therapeutic applicationsRead full descriptionPrimary Inventor: Samuel  StuppTags: THERAPEUTICS: CNS, THERAPEUTICS: peptide"
Novel Peptide Compounds with Enhanced Anti-Tumor Activity 2002-081,"Synthesis of a novel family of peptide compounds with increased anti-proliferative activityRead full descriptionPrimary Inventor: Richard  SilvermanTags: THERAPEUTICS: cancer, THERAPEUTICS: peptide"
Fine Mapping Of PEDF Anti-Angiogenic Activity 2007-084,"PEDF, a novel therapeutic agent for cancer treatment.Read full descriptionPrimary Inventor: Olga VolpertTags: THERAPEUTICS: cancer, THERAPEUTICS: biomarker, ophthalmology"
Peptides: Immune tolerance 2010-136,
Small molecule antiviral therapy,
Small Molecule Down-Regulation of Cu1Zn-superoxide Dismutase Expression 2011-071,"Discovery of ALS compounds that decrease SOD1 expression with diminished toxic side effects.Read full descriptionPrimary Inventor: Thomas LukasTags: THERAPEUTICS: CNS, CNS: ALS"
Targeting Stem Cell Signaling Molecules for New Cancer Interventions 2013-139,"Novel therapeutic and diagnostic agents targeting the Nodal and Notch4 pathway in cancer stem cells.Read full descriptionPrimary Inventor: Mary HendrixTags: DIAGNOSTIC: cancer, THERAPEUTICS: cancer, THERAPEUTICS: stem cells"
Therapeutic Exosomes 2010-082,
Topical Wound Treatment 2008-066,Systemic and Topical Treatment of Wounds with Inhibitors of Glucosylceramide Synthase; Any Use of these Compounds in Topical Formulation
A Strategy for Attenuated-live Vaccines for Bacterial Infections 2008-004,"A novel method to treat urinary tract infection using attenuated-live vaccines.Read full descriptionPrimary Inventor: Anthony SchaefferTags: THERAPEUTICS: disease model, THERAPEUTICS: vaccine"
B Lactam Inhibitors I 2002-090,
Model for Urinary Bladder Regeneration Utilizing Adult Stem Cells 2010-150,"A non-human primate model for regenerating the bladder using adult stem cells.
Read full descriptionTags: THERAPEUTICS: stem cells"
Enhanced Gene Silencing by RNAi 2005-063,"Novel strategy to improve gene silencing by RNAi  for development of therapeuticsRead full descriptionPrimary Inventor: Richard CarthewTags: RESEARCH TOOL: gene, RESEARCH TOOL: method, THERAPEUTICS: RNA, THERAPEUTICS: gene therapy"
Gene Therapy for Atrial Fibrillation 2013-181,"Novel gene therapy for atrial fibrillation (AF) targeting molecular mechanisms underlying disease developmentRead full descriptionPrimary Inventor: Rishi AroraTags: biomedical, cardiology, THERAPEUTICS: gene therapy"
Herpes Virus Based Vaccine and Oncolytic Vectors 2014-106,"Non-neuroinvasive herpes viruses enable production of new vaccines and oncolytic vectorsRead full descriptionPrimary Inventor: Gregory SmithTags: biomedical, HEALTHCARE: anti-bacterial/anti-viral, THERAPEUTICS: infectious disease, THERAPEUTICS: vaccine"
Novel Class of Small Molecule Protein Kinase Inhibitors 2000-080,"A family of pyridazine compounds that modulate intracranial inflammatory responses following CNS insults such as diverse pathogenic stimuli, physical force trauma, brain hemorrhage, or complications of major surgeriesRead full descriptionPrimary Inventor: Linda Van EldikTags: THERAPEUTICS: CNS, THERAPEUTICS: small molecule"
Malaria Prophylaxis 2007-138,
Maspin Protein Mimics for Cancer Treatment 2013-018,Small portion of maspin protein has been developed into an inhibitor of angiogenesis for the purposes of cancer treatment
Nanoparticulate Arsenic-Platinum Drugs for Cancer Treatment 2009-118,"Improved lipid-based co-encapsulation technology for delivery of active arsenic and platinum compounds.Read full descriptionPrimary Inventor: Thomas O'HalloranTags: nanotechnology: nanoparticles, THERAPEUTICS: cancer"
Neurodegenerative Disease Therapy 2010-139,
Neuroprotective Therapeutics 2010-125,
Novel Therapeutics for Parkinson's Disease 2010-105,"Potent and selective antagonists of the Cav 1.3 calcium channel with neuroprotective potentialRead full descriptionPrimary Inventor: James SurmeierTags: THERAPEUTICS: CNS, CNS: Parkinson's Disease"
Arsenic Encapsulation And Triggered Release For Cancer Treatment 2005-053,"Novel ability to encapsulate arsenic compounds and target their release for therapeutic applicationsRead full descriptionPrimary Inventor: Thomas O'HalloranTags: THERAPEUTICS: cancer, THERAPEUTICS: drug delivery"
"Stem Cell Therapy for Bladder Regeneration 2009-021, 2011-069","New method for generating functional bladder tissue grafts from stem cellsRead full descriptionPrimary Inventor: Earl Cheng, Arun SharmaTags: THERAPEUTICS: stem cells"
Cell Tolerance for Preventing Allograft Rejection 2008-143,"Use of ECDI-fixed Cell Tolerance as a Method for Preventing Allograft RejectionTags: THERAPEUTICS: autoimmune, HERAPEUTICS: transplant"
MCP-1 as a Target for Diagnosis and Treatment of Chronic Prostatitis/Chronic Pelvic Pain Syndrome 2008-022,"Microbial modulation of immunity and pain resulting from urinary tract infection.Read full descriptionPrimary Inventor: Anthony SchaefferTags: PAIN: chronic, THERAPEUTICS: biomarker, THERAPEUTICS: vaccine"
Escherichia coli From Human Prostate 2010-012,"Novel bacterial strain for research of chronic pelvic pain (CPP)Read full descriptionPrimary Inventor: Anthony SchaefferTags: research tool, therapeutics"
Potent and Non-Toxic Anti-Cancer Glycosides from Sea Cucumbers 2004-014 and 2004-035,Potent and non toxic cancer therapeutic compounds that have been isolated from sea cucumbersRead full descriptionPrimary Inventor: Thomas  AdrianTags: THERAPEUTICS: cancer
Pectin-Based Medical Food for the Treatment of Short Bowel Syndrome and Ulcerative Colitis 2007-145,"A novel fiber formulation, made with natural pectin, which is tasty and practical to use as a dietary supplementRead full descriptionPrimary Inventor: Alan  BuchmanTags: THERAPEUTICS: disease model, gastroenterology"
Novel Molecular Imaging Probes using Gd(III)-Nanodiamond Conjugates 2008-051,"Development of a gadolinium(III)-nanodiamond complex that, in a series of tests, demonstrates a significant increase in relaxivity and, in turn, a significant increase in contrast enhancement in imaging.Primary Inventor: Dean HoTags: HEALTHCARE: MRI, HEALTHCARE: imaging, MEDICAL DEVICE: imaging, THERAPEUTICS: drug delivery, THERAPEUTICS: imaging"
Numonafide for Cancer Treatment 2007-105,
Major Peptide Epitopes for the Pathogenic T Helper Cells of Human SLE 1999-016,"Very low dose tolerance with nucleosomal peptides controls lupus and induces potent regulatory T-cell subsets in a mouse model with potential human applications.Read full descriptionPrimary Inventor: Syamal DattaTags: THERAPEUTICS: disease model, THERAPEUTICS: peptide, autoimmunity"
Preventing Scar Formation 2008-147,The Use of HMG-CoA Reductase Inhibitors (Statins) to Reduce Hypertrophic Scar Formation
Preventing UTI Symptoms 2008-185,
Proteosome Inhibitors for Steroid Sensitization 2010-015,Use of Proteasome Inhibitors for Sensitization of Patients to Glucocorticoids and Selective Activators of the Glucocorticoid Receptor (SEGRA)
Small Molecules CNS,
Spherical Nucleid Acids: Gene Regulation,
Tau Antibodies,
Antisense Molecules,
GLYX-13: Depression and Pain,
Isradipine: Parkinsons 2005-012,
Lead Compounds For Neurodegeneration and Neuroinflammation 2006-019,Lead Compounds For Neurodegeneration and Neuroinflammation
Metalophile Technology ID and cancer,
Controlling Dopaminergic Neuron Pacemaking 2005-034,"New method for modulating activity of dopaminergic neurons to alleviate symptoms of Parkinson's diseaseRead full descriptionPrimary Inventor: James SurmeierTags: CNS: Parkinson's Disease, THERAPEUTICS: CNS, THERAPEUTICS: drug discovery"
Small Molecules for Tourettes Syndrome,Primary Inventor: Richard  Silverman
Lyrica: Fibromyalgia,Read full description
